228,서울대입구
1521,수서
108,녹양
229,봉천
351,경찰병원
110,가능
231,신대방
111,의정부
232,구로디지털단지
11002,회룡
113,망월사
140,신도림
235,문래
115,도봉
116,방학
118,녹천
119,월계
1611,신촌
120,광운대
241,이대
242,아현
122,신이문
123,외대앞
124,회기
125,청량리
126,제기동
129,종로5가
1919,성복
370,원흥
251,용답
131,종각
252,신답
254,용두
134,남영
1318,용산
139,영등포
1918,수지구청
1917,동천
1531,미금
1530,정자
1913,청계산입구
1912,양재시민의숲
261,도림천
141,구로
262,양천구청
142,구일
263,신정네거리
143,개봉
1921,광교중앙
144,오류동
1920,상현
146,역곡
148,부천
149,중동
1316,중랑
1922,광교
150,송내
151,부개
153,백운
154,동암
1315,망우
155,간석
157,도화
158,제물포
159,도원
1819,천마산
1818,평내호평
1817,금곡
1816,사릉
1815,퇴계원
1814,별내
1813,갈매
11150,달월
160,동인천
11134,인천
1537,기흥
1822,청평
1821,대성리
1820,마석
1709,명지대
1708,시청용인대
1829,남춘천
1707,삼가
